Designator,Mid X,Mid Y,Layer,Rotation
D2,21.500mm,-15.000mm,Top,90
C4,9.000mm,-28.600mm,Top,90
C6,6.000mm,-29.000mm,Top,90
R3,19.000mm,-32.500mm,Top,90
R5,3.500mm,-29.000mm,Top,90
J1,33.000mm,-38.500mm,Top,0
C1,40.500mm,-37.500mm,Top,0
SW2,20.500mm,-38.000mm,Top,0
R7,21.500mm,-11.000mm,Top,90
C3,39.500mm,-24.000mm,Top,90
Q1,9.000mm,-32.500mm,Top,0
R2,35.900mm,-31.500mm,Top,0
R6,51.500mm,-28.000mm,Top,90
R10,42.000mm,-16.000mm,Top,90
C5,11.500mm,-28.600mm,Top,90
R4,21.500mm,-32.500mm,Top,90
R8,33.000mm,-10.000mm,Top,90
U2,33.000mm,-26.000mm,Top,90
R1,31.400mm,-31.300mm,Top,90
U1,6.300mm,-17.000mm,Top,90
D1,51.500mm,-32.000mm,Top,90
C7,39.000mm,-5.300mm,Top,90
U3,44.600mm,-30.500mm,Top,90
C2,39.600mm,-32.500mm,Top,90
R9,44.500mm,-4.500mm,Top,90
C8,41.500mm,-5.300mm,Top,90
U4,39.500mm,-10.000mm,Top,0
SW1,11.500mm,-38.000mm,Top,0
Q2,15.000mm,-32.500mm,Top,0
J2,49.200mm,-10.500mm,Top,-90
