Designator,Mid X,Mid Y,Layer,Rotation
R8,33.000mm,-10.000mm,Top,90
R4,21.500mm,-32.500mm,Top,90
C5,11.500mm,-28.600mm,Top,90
D2,21.500mm,-15.000mm,Top,90
U4,39.500mm,-10.000mm,Top,270
R10,42.000mm,-16.000mm,Top,90
C7,39.000mm,-5.300mm,Top,90
C3,39.500mm,-24.000mm,Top,90
C6,6.000mm,-29.000mm,Top,90
J1,33.000mm,-38.500mm,Top,0
Q1,9.000mm,-32.500mm,Top,0
D1,56.500mm,-36.500mm,Top,90
C1,40.500mm,-37.500mm,Top,0
U1,6.300mm,-17.000mm,Top,0
R2,35.900mm,-31.500mm,Top,0
Q2,15.000mm,-32.500mm,Top,0
C2,44.800mm,-37.900mm,Top,90
C8,41.500mm,-5.300mm,Top,90
SW1,11.500mm,-38.000mm,Top,0
U3,50.500mm,-37.900mm,Top,0
R5,3.500mm,-29.000mm,Top,90
U2,33.000mm,-26.000mm,Top,0
SW2,20.500mm,-38.000mm,Top,0
R7,21.500mm,-11.000mm,Top,90
R9,44.500mm,-4.500mm,Top,90
R3,19.000mm,-32.500mm,Top,90
R6,58.200mm,-36.500mm,Top,90
R1,31.400mm,-31.300mm,Top,90
C4,9.000mm,-28.600mm,Top,90
